wall_time,elapsed_s,trial,object,subject,note,baseline_ready,baseline_elapsed_s,left_omega_gripper_angle_rad,left_omega_gripper_delta_rad,estimated_mid_command_m,estimated_mid_command_mm,left_actual_ee_pos_change_mm,right_actual_ee_pos_change_mm,left_actual_ee_rot_change_deg,right_actual_ee_rot_change_deg,left_actual_mid_axis_disp_mm,right_actual_mid_axis_disp_mm,actual_mid_avg_disp_mm,actual_mid_lr_difference_mm,left_actual_mid_norm_disp_mm,right_actual_mid_norm_disp_mm,left_goal_ee_pos_change_mm,right_goal_ee_pos_change_mm,left_goal_ee_rot_change_deg,right_goal_ee_rot_change_deg,left_goal_mid_axis_disp_mm,right_goal_mid_axis_disp_mm,goal_mid_avg_disp_mm,goal_mid_lr_difference_mm,left_goal_mid_norm_disp_mm,right_goal_mid_norm_disp_mm,left_mid_axis_goal_minus_actual_mm,right_mid_axis_goal_minus_actual_mm,left_ee_goal_actual_pos_error_mm,right_ee_goal_actual_pos_error_mm,left_mid_goal_actual_pos_error_mm,right_mid_goal_actual_pos_error_mm,left_actual_ee_world_x_m,left_actual_ee_world_y_m,left_actual_ee_world_z_m,right_actual_ee_world_x_m,right_actual_ee_world_y_m,right_actual_ee_world_z_m,left_actual_mid_world_x_m,left_actual_mid_world_y_m,left_actual_mid_world_z_m,right_actual_mid_world_x_m,right_actual_mid_world_y_m,right_actual_mid_world_z_m,left_goal_ee_world_x_m,left_goal_ee_world_y_m,left_goal_ee_world_z_m,right_goal_ee_world_x_m,right_goal_ee_world_y_m,right_goal_ee_world_z_m,left_goal_mid_world_x_m,left_goal_mid_world_y_m,left_goal_mid_world_z_m,right_goal_mid_world_x_m,right_goal_mid_world_y_m,right_goal_mid_world_z_m,left_q1_rad,left_q2_rad,left_q3_rad,left_q4_rad,left_q5_rad,left_q6_rad,left_q7_rad,right_q1_rad,right_q2_rad,right_q3_rad,right_q4_rad,right_q5_rad,right_q6_rad,right_q7_rad,left_q_goal1_rad,left_q_goal2_rad,left_q_goal3_rad,left_q_goal4_rad,left_q_goal5_rad,left_q_goal6_rad,left_q_goal7_rad,right_q_goal1_rad,right_q_goal2_rad,right_q_goal3_rad,right_q_goal4_rad,right_q_goal5_rad,right_q_goal6_rad,right_q_goal7_rad
2026-08-21T19:09:11.613,110.19008339103311,1,box1,watanabe,,1,110.19008339103311,-0.020002152770757675,0.0,0.0,0.0,0.0,0.0,1.2375842339541687e-14,1.3365959394595985e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.361109362927034e-15,4.497983566394945e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.4753752932746,331.2217064817621,377.7362181943818,416.3084163610939,0.47611211130194403,-0.11772250764507043,0.31603545651499676,0.5304615932886447,0.6795166627012266,0.19131908193920183,0.39166436861328624,-0.17685192069856068,0.5194671434930582,0.501242949408097,0.7182591941518954,0.4141585916913453,0.34529426440919025,-0.3795261131593253,0.3795261131593261,0.3452861601935658,0.8795105959004244,0.37952191004296687,0.2367289470022314,-0.5213459493183167,0.5213459493183172,0.236720887987271,1.0213313644266062,0.5213408484306741,0.16580303013324738,0.05482173338532448,0.39599815011024475,-2.129260778427124,-0.7675690650939941,1.7220302820205688,1.552271842956543,-0.25368353724479675,0.27388474345207214,-0.017649296671152115,-1.9497987031936646,0.7280710935592651,1.6614505052566528,-0.03246728330850601,-3.199489474733321e-17,-0.7,1.745688867100204e-18,-2.2,3.8008870879957534e-17,1.6,0.40000000000000013,-4.227545071323125e-06,-0.7000360492885308,-1.2922757611563424e-05,-2.2000595267190355,-6.892814457912922e-06,1.6000232521422524,0.39998537579925786
2026-08-21T19:09:11.622,110.20017702504992,1,box1,watanabe,,1,110.19008339103311,-0.020002152770757675,0.0,0.0,0.0,0.0012543241042978685,0.0006408797449216462,0.00012416856010254875,0.0003248080048993902,0.0008036323101423548,-0.000992673472643979,-9.452058125081209e-05,0.0017963057827863338,0.001384418812059397,0.0011765427293683058,0.00965149772987614,0.03822005019170734,7.35690023045653e-07,1.0469160577891396e-05,0.008871093995499457,0.03291659159709859,0.020893842796299023,-0.02404549760159913,0.008904459809367514,0.036671863616195885,0.008067461685357102,0.03390926506974257,299.4668114110101,331.2039589354155,377.72850862820735,416.29017037445175,0.4761111342085901,-0.11772201376994498,0.31603606864643424,0.5304621447611312,0.6795169566475656,0.19131922406764337,0.3916635392208579,-0.17685111706625053,0.5194679069711241,0.5012435801919399,0.7182601868253681,0.4141586227383134,0.34529427227300313,-0.37951646166845876,0.37952612156431614,0.34527293457482766,0.8794754184111166,0.3795149530686492,0.2367289573992443,-0.5213370782243212,0.5213451792613572,0.23670762701156353,1.0212984478350091,0.5213316034265096,0.1658082753419876,0.05482134222984314,0.3959957957267761,-2.1292612552642822,-0.7675687074661255,1.72202730178833,1.5522730350494385,-0.2536815106868744,0.27388498187065125,-0.01764979586005211,-1.9497963190078735,0.7280678749084473,1.6614512205123901,-0.03246096521615982,3.5978040029132383e-06,-0.7000058633869938,1.1045250052795868e-05,-2.2000217531053647,5.880787692442055e-06,1.6000158771462123,0.40001252165831497,-1.4724827927317802e-05,-0.7001013365715916,-4.520889335532155e-05,-2.200179531956864,-2.4071480326823238e-05,1.6000781472807852,0.3999487458887678
2026-08-21T19:09:11.632,110.21019448060542,1,box1,watanabe,,1,110.19008339103311,-0.020002152770757675,0.0,0.0,0.0,0.002159771710352155,0.002326738988694028,0.0001437470378433509,0.0004945457442552975,-0.00021014075365921592,-0.0017571243401404146,-0.0009836325468998153,0.0015469835864811987,0.0019512990504063454,0.0022374936101366735,0.017008020352089582,0.06425818933696911,0.038847389832006446,0.021792885118706203,0.0999329599183918,0.06892036173633542,0.08442666082736361,0.031012598182056372,0.11888422853378748,0.11820393238771591,0.10014310067205101,0.07067748607647584,299.4674890253625,331.1846721607028,377.6554898714372,416.2917998333472,0.4761125337311194,-0.1177227042532063,0.3160375654276724,0.5304630998352755,0.6795171688096291,0.19132078131728092,0.39166439312251733,-0.17685213083931434,0.5194690832889612,0.5012433244396018,0.7182609512762356,0.4141599251991552,0.34529550513699486,-0.3795222118576432,0.3795096051856165,0.345265014554758,0.8794567984830753,0.3794938420052219,0.23670384362074717,-0.5212460163583983,0.5214052509502853,0.2366431034664697,1.0212624440648699,0.521284530390103,0.16580763459205627,0.05482175946235657,0.3959957957267761,-2.1292564868927,-0.7675682306289673,1.7220274209976196,1.552268385887146,-0.25368282198905945,0.273882657289505,-0.01764926314353943,-1.9497956037521362,0.7280676364898682,1.661454439163208,-0.03246577829122543,-7.033806484814292e-05,-0.7000996151530384,0.0002927463887781686,-2.20013864907227,-0.0004831279843046978,1.6001703192770513,0.400071308333847,-8.348022119249204e-05,-0.7003443939076821,9.37310548846612e-06,-2.200487765528093,-5.178876401680791e-06,1.6004255689802642,0.40017895061467157
2026-08-21T19:09:11.642,110.2200495749712,1,box1,watanabe,,1,110.19008339103311,-0.020002152770757675,0.0,0.0,0.0,0.0016415802685422374,0.0026403684653185633,0.0003550674996622111,0.0003293432086359148,-0.0008451625374272798,-0.0022073469362338116,-0.0015262547368305457,0.0013621843988065319,0.0016814194949227648,0.002891534779614624,0.03353500267198693,0.11235130164596352,0.1218119205028052,0.10721522943032334,0.11853439533138221,-0.020042283847221398,0.04924605574208041,0.1385766791786036,0.41863766592145496,0.40620397058725427,0.1193795578688095,-0.017834936910987587,299.4567139188821,331.1528347674383,377.51422977677527,416.39087376466534,0.4761135671906408,-0.11772325362824548,0.31603559320070645,0.5304625871294901,0.6795182291467036,0.19132096078847047,0.39166581836548026,-0.1768527658610981,0.5194672488039275,0.5012436545300305,0.7182614014988317,0.4141603212565923,0.34529969565653884,-0.3795150982413941,0.37949490787869256,0.3452502672525366,0.8794240814040433,0.3794598636596577,0.23701005259917834,-0.5212274149229853,0.5216326316090446,0.23647967554975324,1.0213514067104534,0.5210146329611363,0.16580094397068024,0.054823797196149826,0.39599794149398804,-2.1292564868927,-0.7675690650939941,1.7220299243927002,1.5522748231887817,-0.2536786198616028,0.27388274669647217,-0.017653655260801315,-1.949793815612793,0.7280682921409607,1.6614480018615723,-0.032465849071741104,-0.00021279349196428517,-0.6990594784395324,0.0007629559276443199,-2.1990939598118118,-0.0011664426746103532,1.5986600927037564,0.4003307148992279,-0.00041935637942642237,-0.7009420200238621,0.0007643036664239227,-2.201201485060731,-0.0008792438172514216,1.6012831848024733,0.40102925021902674
2026-08-21T19:09:11.652,110.2301908088848,1,box1,watanabe,,1,110.19008339103311,-0.020002152770757675,0.0,0.0,0.0,0.0012135773037539688,0.0031839569978724166,0.00027488899394108643,0.0003584731124333387,-4.085454061164562e-05,-0.0009259444645470793,-0.0004833995025793625,0.0008850899239354337,0.0012013646169487502,0.003438175829124239,0.03562648208586236,0.13604252078159565,0.1440412181087089,0.12989388284495282,0.10548737327564783,0.02823352840586324,0.06686045084075554,0.0772538448697846,0.5039504050113031,0.5429648456301766,0.10552822781625948,0.02915947287041032,299.4555956104996,331.1367283812644,377.49291229444646,416.4157641649031,0.4761121022704087,-0.11772283588700684,0.3160366248238321,0.5304620152882742,0.679517520178596,0.19131604479728254,0.39166421141670427,-0.1768519615531013,0.5194683338279203,0.5012445596190956,0.71826012009636,0.41415569844050576,0.3453017286257365,-0.3795159088063087,0.3794928054593653,0.3452494564347922,0.8794010405210203,0.37945009068348673,0.23709198940894133,-0.521240461945041,0.5216791739208314,0.23635843878803547,1.0213031308982004,0.5209375566387449,0.16580861806869507,0.054821424186229706,0.3959941565990448,-2.129258632659912,-0.7675689458847046,1.72202730178833,1.5522665977478027,-0.2536773979663849,0.27388888597488403,-0.017649661749601364,-1.9497965574264526,0.7280699610710144,1.6614508628845215,-0.03246588632464409,-0.0001972536049957283,-0.698778898939205,0.0008081963746884113,-2.198805900029624,-0.0012880578907675834,1.5982544425964447,0.40024232491807343,-0.000347452707294727,-0.7013799152796156,0.000771967009461429,-2.20171088277182,-0.0010587434833157926,1.6019554253868153,0.4007241241363961
2026-08-21T19:09:11.662,110.24021726101637,1,box1,watanabe,,1,110.19008339103311,-0.020002152770757675,0.0,0.0,0.0,0.0011241846001233968,0.003974460200825188,0.00026298907818452904,0.0005990364425467365,-0.00024069897094913806,-0.002327272434876626,-0.001283985702912882,0.002086573463927488,0.0005658403289800095,0.0044625697634320775,0.04031384981757543,0.15903667924921502,0.14943164917763338,0.15073403772236704,0.10763124100199306,0.10112052828947782,0.10437588464573544,0.006510712712515243,0.5209767700499592,0.6395881240846776,0.1078719399729422,0.10344780072435444,299.45155181870376,331.12101122679564,377.48427387726684,416.4181450873035,0.4761126941414106,-0.11772320431822686,0.31603611888625555,0.5304626160482915,0.6795187489820597,0.1913158573882442,0.3916642076461235,-0.17685216139753163,0.5194676296297219,0.5012451419163643,0.7182615214243303,0.4141554786157912,0.34529892477973967,-0.37951071906316985,0.3794891468336091,0.3452527769608727,0.8793669049051812,0.37946248678987843,0.23710798008098946,-0.5212383180773147,0.5216867810012624,0.23625924911932933,1.0212302438983167,0.5209098760848859,0.16580361127853394,0.05482092872262001,0.3959979712963104,-2.129260301589966,-0.7675725817680359,1.7220301628112793,1.5522698163986206,-0.2536754012107849,0.273888498544693,-0.017649194225668907,-1.9497947692871094,0.7280691266059875,1.6614511013031006,-0.03246898576617241,-0.00019274613480883856,-0.6987279064981884,0.000821381319142674,-2.198763598354893,-0.001315354052352563,1.598169484952391,0.400224373646093,-0.000244595717036979,-0.7017370179435759,0.0006444659957780646,-2.202123149768496,-0.0011458321799347033,1.6025221749632035,0.40026650141270265
2026-08-21T19:09:11.672,110.25016251951456,1,box1,watanabe,,1,110.19008339103311,-0.020002152770757675,0.0,0.0,0.0,0.0003015515116256045,0.0014005562014684227,0.00034262051550825655,0.00022898429270894964,-0.0003708705754723596,-0.000600470970057998,-0.0004856707727651788,0.0002296003945856384,0.0005439050611004675,0.00121027508666782,0.04630940784155935,0.18460454458575154,0.15094967339037393,0.1575835658886909,0.11298011237936834,0.1420703929468914,0.12752525266312986,-0.029090280567523052,0.5224749009628081,0.6612381655458204,0.1133509829548407,0.1426708639169494,299.4471509961506,331.1014245160609,377.47867480983933,416.3987767095961,0.47611205041345656,-0.1177227696432539,0.31603532019603947,0.5304629156297086,0.6795166413273092,0.19131954293262904,0.3916640724308414,-0.17685229156913615,0.5194668778547871,0.501243953110016,0.7182597946228655,0.4141589027907784,0.34529500610440056,-0.37950436896715295,0.37948523283093183,0.3452627605754351,0.8793338230037315,0.37947413307416517,0.23710930893890841,-0.5212329692059373,0.5216858615326758,0.23624155160257515,1.0211892940336593,0.5209080799644834,0.16580452024936676,0.054820090532302856,0.3959958851337433,-2.1292624473571777,-0.7675690650939941,1.7220323085784912,1.5522654056549072,-0.25368115305900574,0.27388644218444824,-0.017650967463850975,-1.9497944116592407,0.7280693054199219,1.6614515781402588,-0.032466527074575424,-0.00019072078456981565,-0.698727772169715,0.0008273889201050116,-2.1987752607332367,-0.0013218224046493753,1.5981551316697622,0.4002219423588983,-0.00022878577071486957,-0.7018159066231247,0.0005732622991365381,-2.2022527088356445,-0.001189053988302175,1.6027110670061968,0.4001011845693283
2026-08-21T19:09:11.682,110.2603717353195,1,box1,watanabe,,1,110.19008339103311,-0.020002152770757675,0.0,0.0,0.0,0.002722716626164323,0.002478198347429767,0.00022795095379114343,0.0004718411701430574,0.0012727443804427807,0.00021276050432561533,0.000742752442384198,0.0010599838761171654,0.003032278160979254,0.002449207269246864,0.04728920393796783,0.20194360735551373,0.15118029311780054,0.1585768902258579,0.11379625708474173,0.16363463894286667,0.1387154480138042,-0.04983838185812495,0.5227086083009822,0.6405352279770865,0.11252351270429894,0.16342187843854106,299.4464262128022,331.092433280963,377.4785606737592,416.37984457371255,0.4761103374030998,-0.1177214601930169,0.3160372367714144,0.5304611567799824,0.6795161668974006,0.19131669340287114,0.39166218539378145,-0.17685064795418023,0.5194688193167905,0.501243869302435,0.7182589813913911,0.41415633179231603,0.34529441537640404,-0.379503400536371,0.3794846356620954,0.3452824954030979,0.8793096964546405,0.3795017307826649,0.2371095145437807,-0.5212321530612319,0.5216857184272494,0.23625741065758765,1.0211677297876633,0.520930119994737,0.1658068597316742,0.05481908842921257,0.39600032567977905,-2.129263162612915,-0.7675691843032837,1.7220277786254883,1.5522767305374146,-0.2536788880825043,0.2738884389400482,-0.017650967463850975,-1.9497982263565063,0.7280685901641846,1.6614501476287842,-0.0324726440012455,-0.00019041234771437888,-0.6987277448995518,0.0008283014012967421,-2.198777041216405,-0.0013228019251217713,1.598152971085857,0.4002215741974178,-0.0002435251192676509,-0.701768367627515,0.0005112670142819643,-2.2022220716251732,-0.0012227998168910386,1.602747397703529,0.40001910097877985
2026-08-21T19:09:11.692,110.27043572906405,1,box1,watanabe,,1,110.19008339103311,-0.020002152770757675,0.0,0.0,0.0,0.0009890358762242846,0.001790114046523717,0.0002538743901709139,0.00034610731217170126,0.00016730030419354058,-0.0018049641364870084,-0.0008188319161467339,0.001972264440680549,0.0008227617081379672,0.0023634202289482347,0.04739799416876774,0.2026522113202773,0.15120574403646725,0.15867440165411456,0.11388649182564325,0.1596736399185339,0.13678006587208857,-0.04578714809289064,0.5227355055537029,0.5975134214649228,0.11371919152144971,0.1614786040550209,299.4464228223985,331.1038726660144,377.47868805782923,416.37721734361276,0.4761127477492274,-0.11772311773379854,0.3160350082755922,0.5304619141978453,0.6795179978527642,0.1913179335072465,0.3916651584140519,-0.17685175339825648,0.5194669848671236,0.5012439644504871,0.7182609991160319,0.4141574525914415,0.34529435123995955,-0.37950329340194194,0.379484570157694,0.3453052504458463,0.8793102939333644,0.3795460472137364,0.2371095383091043,-0.521232062826491,0.5216857029538812,0.23627978769943556,1.0211716907866877,0.5209707712041154,0.16580449044704437,0.05482405051589012,0.39599609375,-2.129258632659912,-0.7675720453262329,1.722027063369751,1.5522743463516235,-0.2536778748035431,0.2738853096961975,-0.017650727182626724,-1.9497965574264526,0.7280682921409607,1.6614501476287842,-0.03246092423796654,-0.00019037800380092626,-0.6987277385923798,0.0008284027149280132,-2.1987772353471184,-0.001322909462194282,1.5981527334854095,0.40022153426398344,-0.0002593452619933302,-0.7016744339214496,0.00046092015414721195,-2.2020796400336757,-0.0012496369790151324,1.6027008607522524,0.39996068573642324
2026-08-21T19:09:11.702,110.28011830803007,1,box1,watanabe,,1,110.19008339103311,-0.020002152770757675,0.0,0.0,0.0,0.002097881614889291,0.0020988318611753535,0.00047281588291510015,0.0004962197313618536,0.0017476724465947946,-0.0010844297714251994,0.0003316213375847976,0.002832102218019994,0.0021505879093100247,0.001970040197742917,0.06229215410080298,0.21403286677095182,0.1512125300822887,0.15869047838257203,0.12119584821423945,0.1534281526049952,0.13731200040961733,-0.03223230439075575,0.516932777387956,0.5572054623262639,0.11944817576764466,0.1545125823764204,299.4384253604368,331.1264886550298,377.4724681140055,416.38508649342424,0.47611155081720097,-0.11772081658896871,0.3160365643477385,0.530463622357237,0.6795170206937019,0.1913194817106578,0.3916638894155905,-0.17685017302611408,0.5194683015254168,0.5012445791864202,0.7182602785816669,0.4141588128091167,0.3452952784367652,-0.3794964931340642,0.37947132321212657,0.3453196565226443,0.8793127081148375,0.37959626384792666,0.2371104944446925,-0.5212247534701024,0.5216729854200935,0.23629413048414064,1.0211779362740012,0.5210170958048062,0.16581106185913086,0.05482425540685654,0.39599475264549255,-2.129258871078491,-0.7675690650939941,1.72202730178833,1.5522674322128296,-0.25367966294288635,0.2738874554634094,-0.01765144057571888,-1.9497921466827393,0.7280691266059875,1.6614516973495483,-0.03247089311480522,-0.00019276589194730105,-0.698737137437917,0.0008210401273022366,-2.1988206898062916,-0.001326850699895126,1.5981866559882596,0.4002132174336771,-0.00027714511323865084,-0.7015995834241269,0.0004062036227667508,-2.2019342373485506,-0.001278736027163948,1.6026307085360476,0.39989850151707623
