wall_time,elapsed_s,condition,trial,object,subject,note,lifting_mode,grip_force_N,lift_start_grip_force_N,eval_grip_target_N,grip_error_to_eval_target_N,below_eval_target,hand_distance_m,lift_start_hand_distance_m,effective_closing_m,effective_closing_mm,left_ee_world_x_m,left_ee_world_y_m,left_ee_world_z_m,right_ee_world_x_m,right_ee_world_y_m,right_ee_world_z_m,grip_axis_x,grip_axis_y,grip_axis_z,left_fx_N,left_fy_N,left_fz_N,right_fx_N,right_fy_N,right_fz_N,left_tx_Nm,left_ty_Nm,left_tz_Nm,right_tx_Nm,right_ty_Nm,right_tz_Nm,left_force_cmd_x_N,left_force_cmd_y_N,left_force_cmd_z_N,right_force_cmd_x_N,right_force_cmd_y_N,right_force_cmd_z_N,right_omega_x,right_omega_y,right_omega_z,right_gripper_angle,right_gripper_button,left_q1_rad,left_q2_rad,left_q3_rad,left_q4_rad,left_q5_rad,left_q6_rad,left_q7_rad,right_q1_rad,right_q2_rad,right_q3_rad,right_q4_rad,right_q5_rad,right_q6_rad,right_q7_rad,left_q_goal1_rad,left_q_goal2_rad,left_q_goal3_rad,left_q_goal4_rad,left_q_goal5_rad,left_q_goal6_rad,left_q_goal7_rad,right_q_goal1_rad,right_q_goal2_rad,right_q_goal3_rad,right_q_goal4_rad,right_q_goal5_rad,right_q_goal6_rad,right_q_goal7_rad
2026-08-13T11:06:05.233,0.01007105316966772,on,1,box1,operator,,0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0.3503584563732147,0.5302035801445286,0.26537656744091936,nan,nan,nan,nan,nan,nan,-2.165684700012207,0.40251504766286356,-0.4067903390235671,nan,nan,nan,-0.12263420969247818,-0.905686620737037,0.6135514933285966,nan,nan,nan,nan,nan,nan,-0.00839361824619661,-0.07554807571077456,-0.065997987781934,0.026062550023198128,0,nan,nan,nan,nan,nan,nan,nan,-0.5712095499038696,-0.24009005725383759,0.08002561330795288,-2.656510353088379,0.2268851101398468,2.305314540863037,1.712909460067749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-13T11:06:05.243,0.020125810988247395,on,1,box1,operator,,0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0.3503587245941162,0.5302039594661652,0.2653739543363117,nan,nan,nan,nan,nan,nan,-2.174534320831299,0.360293598900833,-0.4659139384439215,nan,nan,nan,-0.11555040627717972,-0.8887600881268496,0.5995274034411119,nan,nan,nan,nan,nan,nan,-0.00839361824619661,-0.07554807571077456,-0.065997987781934,0.026062550023198128,0,nan,nan,nan,nan,nan,nan,nan,-0.5712057948112488,-0.2400916963815689,0.08002936840057373,-2.6565101146698,0.22688639163970947,2.3053128719329834,1.712910532951355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-13T11:06:05.253,0.030159948393702507,on,1,box1,operator,,0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0.35035789012908936,0.5302026950607098,0.2653777264792534,nan,nan,nan,nan,nan,nan,-2.1566295623779297,0.36251008849313077,-0.42997272078496457,nan,nan,nan,-0.11126530170440674,-0.8940423421140078,0.5970925905393497,nan,nan,nan,nan,nan,nan,-0.00839361824619661,-0.07554807571077456,-0.065997987781934,0.026062550023198128,0,nan,nan,nan,nan,nan,nan,nan,-0.5712066292762756,-0.24008767306804657,0.08002643287181854,-2.656508684158325,0.22688618302345276,2.3053174018859863,1.71290922164917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-13T11:06:05.263,0.040121725760400295,on,1,box1,operator,,0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0.3503592908382416,0.5302038857091802,0.2653751660582064,nan,nan,nan,nan,nan,nan,-2.172194480895996,0.3638784649553779,-0.43264462551466876,nan,nan,nan,-0.1114228218793869,-0.8986518164950987,0.5993916589787704,nan,nan,nan,nan,nan,nan,-0.00839361824619661,-0.07554807571077456,-0.065997987781934,0.026062550023198128,0,nan,nan,nan,nan,nan,nan,nan,-0.5712051391601562,-0.2400951385498047,0.08002736419439316,-2.6565117835998535,0.2268851101398468,2.3053133487701416,1.7129100561141968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-13T11:06:05.273,0.050107683055102825,on,1,box1,operator,,0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0.35036060214042664,0.5302046654258777,0.26537769486911705,nan,nan,nan,nan,nan,nan,-2.133265733718872,0.35552227008474807,-0.4331272833212815,nan,nan,nan,-0.11060405522584915,-0.8832932625533501,0.5887341434465027,nan,nan,nan,nan,nan,nan,-0.00839361824619661,-0.07554807571077456,-0.065997987781934,0.026062550023198128,0,nan,nan,nan,nan,nan,nan,nan,-0.5712053179740906,-0.24008981883525848,0.08002731949090958,-2.656506299972534,0.22688435018062592,2.3053128719329834,1.712909460067749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-13T11:06:05.283,0.06011353339999914,on,1,box1,operator,,0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0.3503587543964386,0.5302033799469982,0.26537508176450936,nan,nan,nan,nan,nan,nan,-2.177891254425049,0.37962939222732833,-0.3676688765802988,nan,nan,nan,-0.11315784603357315,-0.9238535877824606,0.6000645123418227,nan,nan,nan,nan,nan,nan,-0.00839361824619661,-0.07554807571077456,-0.065997987781934,0.026062550023198128,0,nan,nan,nan,nan,nan,nan,nan,-0.5712043642997742,-0.2400916963815689,0.08002850413322449,-2.6565141677856445,0.22688435018062592,2.3053131103515625,1.7129098176956177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-13T11:06:05.293,0.0701089147478342,on,1,box1,operator,,0,0.0,nan,nan,nan,0,0.5821267178070886,nan,nan,nan,0.35866206884384155,-0.05166172083318303,0.25008632300389466,0.3503597676753998,0.5302049604538173,0.2653752924987519,-0.014262017039377805,0.9995532991148939,0.026263988625108727,-0.5296424627304077,-0.8414395769839856,0.28949633429659744,-2.171905755996704,0.3505741457758721,-0.3776800695321076,0.28753411769866943,-0.18471977992905309,-0.33312101463532134,-0.10146182030439377,-0.9186081069206282,0.5897980984903116,nan,nan,nan,nan,nan,nan,-0.00839361824619661,-0.07554807571077456,-0.065997987781934,0.026062550023198128,0,0.5036690831184387,-0.2920520007610321,-0.09904158860445023,-2.7072792053222656,-0.20883816480636597,2.3726038932800293,-0.30824247002601624,-0.5711989402770996,-0.24009105563163757,0.08003056049346924,-2.656514883041382,0.22688360512256622,2.305314540863037,1.712907075881958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-13T11:06:05.303,0.0801088847219944,on,1,box1,operator,,0,0.0,nan,nan,nan,0,0.5821229285126355,nan,nan,nan,0.3586597144603729,-0.0516606039416975,0.2500850164515908,0.3503577411174774,0.5302022735922247,0.26537464975931213,-0.014261546721940032,0.9995532713693691,0.02626529992004849,-0.5570725202560425,-0.8399631518072247,0.317863207466582,-2.148926019668579,0.33833948200143643,-0.37920117300246803,0.28210556507110596,-0.20511520363757352,-0.3372858239595542,-0.09654661267995834,-0.9089860551625759,0.5826097954260967,nan,nan,nan,nan,nan,nan,-0.00839361824619661,-0.07554807571077456,-0.065997987781934,0.026062550023198128,0,0.5036661028862,-0.2920539975166321,-0.09903978556394577,-2.7072830200195312,-0.20883804559707642,2.3726024627685547,-0.3082418739795685,-0.5712051391601562,-0.2400875985622406,0.08002731949090958,-2.656510353088379,0.22688597440719604,2.3053150177001953,1.7129076719284058,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-13T11:06:05.313,0.0901163499802351,on,1,box1,operator,,0,0.0,nan,nan,nan,0,0.5821247287090151,nan,nan,nan,0.358661025762558,-0.051661805126880025,0.25008491108446956,0.3503592610359192,0.5302028636481039,0.26537502908094873,-0.014261144248329248,0.9995532573670114,0.026266051315820656,-0.53608638048172,-0.8222436051688806,0.3139108446006244,-2.164243698120117,0.3506692716245515,-0.348055639358089,0.2751111090183258,-0.19734892503466056,-0.32906614009707313,-0.0979824960231781,-0.9253118371308011,0.5875422094971903,nan,nan,nan,nan,nan,nan,-0.00839361824619661,-0.07554807571077456,-0.065997987781934,0.026062550023198128,0,0.503666877746582,-0.29205772280693054,-0.09904147684574127,-2.707282781600952,-0.2088373750448227,2.372603178024292,-0.30824777483940125,-0.5712029933929443,-0.24008731544017792,0.08003304898738861,-2.6565115451812744,0.22688281536102295,2.305316209793091,1.7129112482070923,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-13T11:06:05.323,0.1001206785440445,on,1,box1,operator,,0,0.0,nan,nan,nan,0,0.5821237508845807,nan,nan,nan,0.358659952878952,-0.051661341511546416,0.2500849743047423,0.35035696625709534,0.5302023473492097,0.2653744917086302,-0.014263267233538709,0.999553253026647,0.026265063709656804,-0.5177345275878906,-0.8152090011244728,0.2628724018999326,-2.2111520767211914,0.38421125515428856,-0.3754593896211055,0.2789851725101471,-0.17349160133630379,-0.3258072351347335,-0.11624672263860703,-0.9352176320097408,0.6044466993056063,nan,nan,nan,nan,nan,nan,-0.00839361824619661,-0.07554807571077456,-0.065997987781934,0.026062550023198128,0,0.5036691427230835,-0.2920539975166321,-0.09903960675001144,-2.707284927368164,-0.2088380753993988,2.3725996017456055,-0.30825260281562805,-0.5712007284164429,-0.24009159207344055,0.0800287127494812,-2.6565096378326416,0.22688432037830353,2.3053174018859863,1.7129125595092773,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
