timestamp,condition,trial,object,subject,lifting_duration_s,lift_start_grip_force_N,eval_grip_target_N,grip_force_mean_N,grip_force_min_N,below_eval_target_time_s,max_effective_closing_mm,max_grasp_assist_offset_mm,raw_csv,note
2026-08-13T10:48:14,on,1,box1,operator,0.05975637584924698,13.501215999461913,13.801215999461913,13.684034167602052,13.501215999461913,0.05975637584924698,0.041355260603337385,,/home/watanaberyuto/franka_ros2_ws/experiment1_logs/20260813_104723_assist_on_trial01_box1_operator.csv,
2026-08-13T10:48:20,on,1,box1,operator,5.970012058503926,12.821982012439179,13.12198201243918,13.910936909057437,1.046341453910269,2.320021686144173,4.831504472243564,,/home/watanaberyuto/franka_ros2_ws/experiment1_logs/20260813_104723_assist_on_trial01_box1_operator.csv,
2026-08-13T11:07:11,on,1,box1,operator,0.1999473674222827,2.2160681926903383,2.516068192690338,2.216068192690338,2.2160681926903383,0.1999473674222827,0.0,,/home/watanaberyuto/franka_ros2_ws/experiment1_logs/20260813_110605_assist_on_trial01_box1_operator.csv,
2026-08-14T16:15:14,on,1,box1,watanabe,13.029834726825356,8.499441131914057,8.799441131914058,6.472121793993651,4.368710263784501,11.209642371162772,0.5251252963429653,,/home/watanaberyuto/franka_ros2_ws/experiment1_logs/20260814_161441_assist_on_trial01_box1_watanabe.csv,
2026-08-14T16:40:41,on,1,box1,watanabe,7.409934434108436,12.663613222104889,12.96361322210489,9.735888348078598,5.2812867635913845,6.479899092577398,0.08313800044268405,0.34902000000000183,/home/watanaberyuto/franka_ros2_ws/experiment1_logs/20260814_164011_assist_on_trial01_box1_watanabe.csv,
2026-08-14T16:45:34,on,1,box1,watanabe,11.729910110123456,10.267156995995684,10.567156995995685,6.038658391641839,3.65671078819532,11.729910110123456,8.417386293985473,13.733999999999554,/home/watanaberyuto/franka_ros2_ws/experiment1_logs/20260814_164452_assist_on_trial01_box1_watanabe.csv,
2026-08-17T13:40:09,on,1,box1,watanabe,5.410089615732431,17.100232459471368,17.40023245947137,16.52582139303239,2.758924567974454,3.4797896156087518,125.73858667191057,6.294000000000278,/home/watanaberyuto/franka_ros2_ws/experiment1_logs/20260817_133910_assist_on_trial01_box1_watanabe.csv,
2026-08-17T13:40:48,on,1,box1,watanabe,0.8500227304175496,1.8477158062819583,2.1477158062819584,1.7563998278790607,1.5817032757971963,0.8500227304175496,0.10009882989014951,0.671999999999999,/home/watanaberyuto/franka_ros2_ws/experiment1_logs/20260817_133910_assist_on_trial01_box1_watanabe.csv,
2026-08-17T13:41:27,on,1,box1,watanabe,0.7899637706577778,1.0804697841946305,1.3804697841946305,1.4341826164274207,1.0804697841946305,0.22010570671409369,13.96690135174794,0.7919999999999977,/home/watanaberyuto/franka_ros2_ws/experiment1_logs/20260817_133910_assist_on_trial01_box1_watanabe.csv,
2026-08-17T13:58:51,on,1,box1,watanabe,18.759987376630306,13.106443711944195,13.406443711944195,11.701679188489917,7.665343749693413,15.779609336517751,13.7387364338597,19.91099999999859,/home/watanaberyuto/franka_ros2_ws/experiment1_logs/20260817_135703_assist_on_trial01_box1_watanabe.csv,
