wall_time,elapsed_s,condition,trial,object,subject,note,lifting_mode,grip_force_N,grip_force_topic_N,grip_force_sync_N,left_inward_force_sync_N,right_inward_force_sync_N,wrench_sync_dt_ms,wrench_sync_age_ms,wrench_sync_valid,grasp_assist_offset_m,grasp_assist_offset_mm,lift_start_grip_force_N,eval_grip_target_N,grip_error_to_eval_target_N,below_eval_target,hand_distance_m,lift_start_hand_distance_m,effective_closing_m,effective_closing_mm,assist_target_hand_distance_m,q_goal_fk_hand_distance_m,lift_start_q_goal_fk_distance_m,q_goal_fk_closing_m,q_goal_fk_closing_mm,q_fk_hand_distance_m,lift_start_q_fk_distance_m,q_fk_closing_m,q_fk_closing_mm,ik_unrealized_closing_mm,robot_unrealized_closing_mm,left_ee_world_x_m,left_ee_world_y_m,left_ee_world_z_m,right_ee_world_x_m,right_ee_world_y_m,right_ee_world_z_m,grip_axis_x,grip_axis_y,grip_axis_z,left_fx_N,left_fy_N,left_fz_N,right_fx_N,right_fy_N,right_fz_N,left_tx_Nm,left_ty_Nm,left_tz_Nm,right_tx_Nm,right_ty_Nm,right_tz_Nm,left_force_cmd_x_N,left_force_cmd_y_N,left_force_cmd_z_N,right_force_cmd_x_N,right_force_cmd_y_N,right_force_cmd_z_N,right_omega_x,right_omega_y,right_omega_z,right_gripper_angle,right_gripper_button,left_q1_rad,left_q2_rad,left_q3_rad,left_q4_rad,left_q5_rad,left_q6_rad,left_q7_rad,right_q1_rad,right_q2_rad,right_q3_rad,right_q4_rad,right_q5_rad,right_q6_rad,right_q7_rad,left_q_goal1_rad,left_q_goal2_rad,left_q_goal3_rad,left_q_goal4_rad,left_q_goal5_rad,left_q_goal6_rad,left_q_goal7_rad,right_q_goal1_rad,right_q_goal2_rad,right_q_goal3_rad,right_q_goal4_rad,right_q_goal5_rad,right_q_goal6_rad,right_q_goal7_rad
2026-08-21T18:13:10.089,0.010168902575969696,off,1,box1,watanabe,,0,0.0341405391930758,0.0,0.0341405391930758,0.0,0.0682810783861516,1.1150836944580078,1.0913042351603508,1,nan,nan,nan,nan,nan,0,0.8397626642536004,nan,nan,nan,nan,nan,nan,nan,nan,0.8397631386525195,nan,nan,nan,nan,nan,0.47732099890708923,-0.1217846885448049,0.3148672408870335,0.5301268696784973,0.7035885394173876,0.16936154735702424,0.06288189868305602,0.9828648772993529,-0.17327001988036456,-0.6422749757766724,0.007817776783437314,1.0040751195213988,-3.7083218097686768,0.24246251655401668,0.42363158781506494,-0.15658769011497498,-0.637650081392898,-0.10208982448387643,-0.27942609786987305,-1.7112628226570874,0.8813469526992532,nan,nan,nan,nan,nan,nan,-0.025090331055783427,-0.07673247653727237,-0.05816112171200476,0.005844156723469496,0,0.12159832566976547,0.05022116005420685,0.43197324872016907,-2.129911422729492,-0.7671959400177002,1.723494529724121,1.552655577659607,-0.22975003719329834,0.27384746074676514,0.019457317888736725,-1.9498801231384277,0.7291204333305359,1.6607656478881836,-0.0330042764544487,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-21T18:13:10.099,0.020054911263287067,off,1,box1,watanabe,,0,0.011503273246728618,0.0,0.011503273246728618,0.0,0.023006546493457236,11.09457015991211,6.300495937466621,1,nan,nan,nan,nan,nan,0,0.8397618022057947,nan,nan,nan,nan,nan,nan,nan,nan,0.8397586987203829,nan,nan,nan,nan,nan,0.47731977701187134,-0.12178466747138064,0.31486717766676076,0.5301259756088257,0.7035874054037449,0.1693600261192108,0.06288235361295165,0.9828645107542736,-0.1732719339762152,-0.624168872833252,-0.02256799365049178,1.0144313588437988,-3.7217299938201904,0.27952755885509223,0.3677059572459098,-0.1432654708623886,-0.635038578365466,-0.11406703160000525,-0.30504506826400757,-1.6844530437319136,0.905344862479174,nan,nan,nan,nan,nan,nan,-0.02509087859380965,-0.07673114364745323,-0.05816973131498695,0.005844156723469496,0,0.12159979343414307,0.05021873116493225,0.4319693148136139,-2.129911422729492,-0.7671936750411987,1.7234952449798584,1.5526598691940308,-0.22975459694862366,0.27385595440864563,0.019454218447208405,-1.949878215789795,0.7291207313537598,1.660767674446106,-0.03300999104976654,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-21T18:13:10.109,0.03005851060152054,off,1,box1,watanabe,,0,0.004663916267654639,0.0,0.004663916267654639,0.0,0.009327832535309277,11.117219924926758,6.051842123270035,1,nan,nan,nan,nan,nan,0,0.8397634468012481,nan,nan,nan,nan,nan,nan,nan,nan,0.8397585603583743,nan,nan,nan,nan,nan,0.47731977701187134,-0.12178606885409363,0.3148654812561082,0.5301255583763123,0.7035878439943872,0.16935912391323488,0.06288173361865651,0.9828647769707307,-0.1732706488918077,-0.6175652146339417,0.08288375849855317,0.9803591721580157,-3.7039413452148438,0.29376139516836947,0.3759742812057505,-0.19014424085617065,-0.6151708490053701,-0.06363921244053927,-0.3084384799003601,-1.6837344821116513,0.9104704671671293,nan,nan,nan,nan,nan,nan,-0.02509087859380965,-0.07673114364745323,-0.05816973131498695,0.005844156723469496,0,0.1216006651520729,0.05021929368376732,0.4319781959056854,-2.129915475845337,-0.7671957015991211,1.7234936952590942,1.552657127380371,-0.22975385189056396,0.2738511562347412,0.019456300884485245,-1.949878215789795,0.7291213274002075,1.6607656478881836,-0.03300817310810089,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-21T18:13:10.119,0.040105076506733894,off,1,box1,watanabe,,0,0.0,0.0,0.0,0.0,0.0,11.046409606933594,6.1459019780159,1,nan,nan,nan,nan,nan,0,0.8397612128972047,nan,nan,nan,nan,nan,nan,nan,nan,0.8397628228023329,nan,nan,nan,nan,nan,0.47732093930244446,-0.12178702769489723,0.3148667983451241,0.5301254391670227,0.7035845394180461,0.16935956250387718,0.0628803748656132,0.9828645982176093,-0.17327215594923945,-0.6282179355621338,0.014679747336344529,0.9925992491683071,-3.685256242752075,0.29676683425212064,0.3435507633298803,-0.15763507783412933,-0.6268792224482722,-0.09517055529041873,-0.31618186831474304,-1.659989790597584,0.9094810277514878,nan,nan,nan,nan,nan,nan,-0.02509087859380965,-0.07673114364745323,-0.05816973131498695,0.005844156723469496,0,0.12159682810306549,0.05021681636571884,0.4319707155227661,-2.1299147605895996,-0.767194926738739,1.7234976291656494,1.5526609420776367,-0.22975188493728638,0.2738496959209442,0.01945621892809868,-1.9498786926269531,0.7291200757026672,1.6607666015625,-0.03300974518060684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-21T18:13:10.129,0.050147656351327896,off,1,box1,watanabe,,0,0.0,0.0,0.0,0.0,0.0,11.05356216430664,6.47411122918129,1,nan,nan,nan,nan,nan,0,0.8397593211372454,nan,nan,nan,nan,nan,nan,nan,nan,0.8397621960580367,nan,nan,nan,nan,nan,0.4773184359073639,-0.1217835927267436,0.31486787308976116,0.5301281809806824,0.703586425489517,0.16936467280925913,0.06288676260455293,0.982864967903544,-0.17326774067056988,-0.5938835144042969,0.02689428335643823,0.9947609188815822,-3.649718999862671,0.34547519831105533,0.32757503267050686,-0.1641683131456375,-0.6098151646713939,-0.08556922924512173,-0.33711642026901245,-1.6392118157501983,0.9306145534129113,nan,nan,nan,nan,nan,nan,-0.02509087859380965,-0.07673114364745323,-0.05816973131498695,0.005844156723469496,0,0.12159431725740433,0.0502205491065979,0.4319731593132019,-2.1299116611480713,-0.7671937346458435,1.7234938144683838,1.5526624917984009,-0.22975316643714905,0.2738494575023651,0.019456299021840096,-1.949876070022583,0.7291204333305359,1.6607683897018433,-0.03300892934203148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-21T18:13:10.139,0.06005185004323721,off,1,box1,watanabe,,0,0.0,0.0,0.0,0.0,0.0,11.160612106323242,6.054149009287357,1,nan,nan,nan,nan,nan,0,0.8397590188368171,nan,nan,nan,nan,nan,nan,nan,nan,0.8397591634023331,nan,nan,nan,nan,nan,0.4773201048374176,-0.12178436190672891,0.3148683261683827,0.5301262736320496,0.7035849292763949,0.16936144857534804,0.06288252654645596,0.9828644559559181,-0.17327218205358708,-0.5999228358268738,0.08779926114668168,0.9928621190624696,-3.657144546508789,0.3132198819221471,0.33367494210422144,-0.19421376287937164,-0.6107761128174422,-0.05892702618962731,-0.3258398175239563,-1.6459281689415002,0.9148494404337142,nan,nan,nan,nan,nan,nan,-0.025090331055783427,-0.07673247653727237,-0.05816112171200476,0.005844156723469496,0,0.12159978598356247,0.05022092163562775,0.4319719076156616,-2.1299116611480713,-0.7671957015991211,1.7234946489334106,1.552659034729004,-0.22975601255893707,0.2738513946533203,0.019456306472420692,-1.9498800039291382,0.7291221022605896,1.6607664823532104,-0.033009808510541916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-21T18:13:10.149,0.07006076257675886,off,1,box1,watanabe,,0,0.0,0.0,0.0,0.0,0.0,11.172294616699219,6.089538335800171,1,nan,nan,nan,nan,nan,0,0.8397591463890213,nan,nan,nan,nan,nan,nan,nan,nan,0.839762381139361,nan,nan,nan,nan,nan,0.4773196578025818,-0.12178330823551616,0.31486592379801753,0.5301266312599182,0.7035865611496857,0.1693618818976343,0.06288347520167814,0.9828649952004768,-0.1732687789422159,-0.6361153721809387,0.09941982163071134,1.0022872502075666,-3.685154438018799,0.35395447317459355,0.32996732664611117,-0.20024099946022034,-0.6324708448402125,-0.057231184519518696,-0.34118324518203735,-1.654842522429494,0.9443824536817225,nan,nan,nan,nan,nan,nan,-0.025090331055783427,-0.07673247653727237,-0.05816112171200476,0.005844156723469496,0,0.12159622460603714,0.05021686106920242,0.43196552991867065,-2.129915475845337,-0.7671968340873718,1.7234936952590942,1.5526636838912964,-0.22975552082061768,0.2738540470600128,0.019456306472420692,-1.9498776197433472,0.7291215062141418,1.6607688665390015,-0.03301335498690605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-21T18:13:10.159,0.08014795370399952,off,1,box1,watanabe,,0,0.0,0.0,0.0,0.0,0.0,11.150836944580078,6.174544803798199,1,nan,nan,nan,nan,nan,0,0.8397596169778049,nan,nan,nan,nan,nan,nan,nan,nan,0.8397640732675898,nan,nan,nan,nan,nan,0.47731927037239075,-0.12178281301004616,0.31486759913524587,0.5301251411437988,0.7035865664180417,0.16935766194442714,0.06288212686560249,0.9828638609683259,-0.17327570205684778,-0.5719813108444214,0.0019135512160917134,0.9659406931355904,-3.6659412384033203,0.3156217965744685,0.3022563130981504,-0.14737500250339508,-0.5879444484826661,-0.09555466059432272,-0.3340841233730316,-1.6322242475887285,0.91892044667823,nan,nan,nan,nan,nan,nan,-0.025089594837698126,-0.07673906864877911,-0.058156481368632613,0.005844156723469496,0,0.12159635126590729,0.050218574702739716,0.43196767568588257,-2.129915475845337,-0.7671932578086853,1.723496437072754,1.5526624917984009,-0.2297458052635193,0.2738519012928009,0.019454218447208405,-1.949876308441162,0.7291204333305359,1.6607694625854492,-0.033009693026542664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-21T18:13:10.169,0.09006996918469667,off,1,box1,watanabe,,0,0.0,0.0,0.0,0.0,0.0,11.100292205810547,6.36681355535984,1,nan,nan,nan,nan,nan,0,0.8397614318717946,nan,nan,nan,nan,nan,nan,nan,nan,0.8397622623723477,nan,nan,nan,nan,nan,0.47732019424438477,-0.12178559470204786,0.31486793631003396,0.5301279425621033,0.7035863767572235,0.16936290922706676,0.06288422677380187,0.9828648234291377,-0.17326948054597163,-0.5505197644233704,0.031362734382411606,0.9288500334531542,-3.661419630050659,0.3176611064132548,0.3092262714502043,-0.15743206441402435,-0.5608299478427586,-0.0794797682785707,-0.3329428434371948,-1.6348056999131724,0.9186388635833287,nan,nan,nan,nan,nan,nan,-0.025090331055783427,-0.07673247653727237,-0.05816112171200476,0.005844156723469496,0,0.12159883230924606,0.05021702125668526,0.4319722354412079,-2.12992000579834,-0.7671919465065002,1.7234952449798584,1.552652359008789,-0.22975045442581177,0.2738538682460785,0.01946239545941353,-1.949878215789795,0.72911536693573,1.660766363143921,-0.033009182661771774,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-08-21T18:13:10.179,0.1000505005940795,off,1,box1,watanabe,,0,0.0,0.0,0.0,0.0,0.0,11.170148849487305,6.226495839655399,1,nan,nan,nan,nan,nan,0,0.8397671879962879,nan,nan,nan,nan,nan,nan,nan,nan,0.8397621019500864,nan,nan,nan,nan,nan,0.4773208498954773,-0.12178711198859427,0.3148686949533071,0.5301269292831421,0.7035906111984098,0.1693624680022464,0.06288180836603277,0.9828649356452976,-0.17326972169303653,-0.5389215350151062,0.02855470060037335,0.9399201139487832,-3.673424005508423,0.32426173127326324,0.35010457719990007,-0.15845100581645966,-0.5604045597007383,-0.0780562584701153,-0.3257259130477905,-1.6618421445896376,0.9240106480134362,nan,nan,nan,nan,nan,nan,-0.025090331055783427,-0.07673247653727237,-0.05816112171200476,0.005844156723469496,0,0.12159693241119385,0.05022089183330536,0.43197160959243774,-2.129913568496704,-0.767192542552948,1.7234941720962524,1.552663803100586,-0.22975175082683563,0.273849219083786,0.019458161666989326,-1.949877142906189,0.7291178703308105,1.6607683897018433,-0.03300654888153076,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
